section,name,start,end,row_group,link,tags
,DoXtR Repository,2026-05-19,@now() + 1 months,,,doxtr repo

Containers,Reactor,2026-05-31,@now() + 1 months,,,doxtr-reactor repo
Reactor,Initial Release,2026-05-31,2026-05-31,,,doxtr-reactor initial
Reactor,v0.0.2,2026-06-03,2026-06-03,,,doxtr-reactor
Reactor,v0.0.3,2026-07-04,2026-07-04,,,doxtr-reactor
Reactor,v0.0.4,2026-07-12,2026-07-12,,,doxtr-reactor
Reactor,v0.0.5,2026-08-01,2026-08-01,,,doxtr-reactor
Reactor,v0.0.6,2026-08-17,2026-08-17,,,doxtr-reactor
Reactor,v0.1.0,2026-09-06,2026-09-06,,,doxtr-reactor
Reactor,v0.1.1,2026-09-06,2026-09-06,,,doxtr-reactor
Reactor,v0.1.2,2026-09-13,2026-09-13,,,doxtr-reactor
Reactor,v0.1.3,2026-09-14,2026-09-14,,,doxtr-reactor
Reactor,v0.1.4,2026-09-15,2026-09-15,,,doxtr-reactor
Reactor,v0.1.5,2026-09-19,2026-09-19,,,doxtr-reactor current

Containers,Reactor-Builder-Assets,2026-05-30,@now() + 1 months,,,doxtr-reactor-builder-assets repo
Reactor-Builder-Assets,Initial Release,2026-05-30,2026-05-30,,,doxtr-reactor-builder-assets initial
Reactor-Builder-Assets,v0.0.2,2026-05-31,2026-05-31,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.3,2026-05-31,2026-05-31,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.4,2026-06-03,2026-06-03,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.6,2026-07-12,2026-07-12,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.7,2026-08-01,2026-08-01,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.8,2026-08-17,2026-08-17,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.9,2026-09-06,2026-09-06,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.10,2026-09-06,2026-09-06,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.11,2026-09-13,2026-09-13,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.12,2026-09-14,2026-09-14,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.13,2026-09-15,2026-09-15,,,doxtr-reactor-builder-assets
Reactor-Builder-Assets,v0.0.14,2026-09-19,2026-09-19,,,doxtr-reactor-builder-assets current

Containers,Reactor-Builder-Fonts,2026-09-06,@now() + 1 months,,,doxtr-reactor-builder-fonts repo
Reactor-Builder-Fonts,Initial Release,2026-09-06,2026-09-06,,,doxtr-reactor-builder-fonts initial current

Sphinx-Extensions,doxtr-pdf-theme-core,2026-08-01,@now() + 1 months,,,doxtr-pdf-theme-core repo
doxtr-pdf-theme-core,Initial Release,2026-08-01,2026-08-01,,,doxtr-pdf-theme-core initial
doxtr-pdf-theme-core,v1.0.1,2026-08-01,2026-08-01,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.0.2,2026-08-04,2026-08-04,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.0.3,2026-08-05,2026-08-05,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.0.4,2026-08-10,2026-08-10,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.0,2026-08-17,2026-08-17,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.1,2026-08-19,2026-08-19,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.2,2026-08-21,2026-08-21,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.3,2026-08-24,2026-08-24,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.4,2026-08-25,2026-08-25,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.5,2026-08-30,2026-08-30,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.6,2026-08-30,2026-08-30,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.7,2026-08-31,2026-08-31,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.8,2026-09-07,2026-09-07,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.9,2026-09-13,2026-09-13,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.10,2026-09-13,2026-09-13,,,doxtr-pdf-theme-core
doxtr-pdf-theme-core,v1.1.11,2026-09-19,2026-09-19,,,doxtr-pdf-theme-core current

Sphinx-Extensions,doxtr-roadmap,2026-09-06,@now() + 1 months,,,doxtr-roadmap repo
doxtr-roadmap,Initial Release,2026-09-06,2026-09-06,,,doxtr-roadmap initial
doxtr-roadmap,v0.1.1,2026-09-13,2026-09-13,,,doxtr-roadmap
doxtr-roadmap,v0.1.2,2026-09-14,2026-09-14,,,doxtr-roadmap
doxtr-roadmap,v0.1.3,2026-09-20,2026-09-20,,,doxtr-roadmap current

Sphinx-Extensions,doxtr-d2,2026-09-15,@now() + 1 months,,,doxtr-d2 repo
doxtr-d2,Initial Release,2026-09-15,2026-09-15,,,doxtr-d2 initial current

Sphinx-Extensions,doxtr-rag,2026-09-19,@now() + 1 months,,,doxtr-rag repo
doxtr-rag,Initial Release,2026-09-19,2026-09-19,,,doxtr-rag initial current
